"plot","Northing..","Easting..m","plot_sum_f","CFL_Phelps","CFL_Perrak","avg_height","avg_cbh_m","CBD_Phelps","CBD_Perrak","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9","geometry"
"JP1",5835791.1,439931.016,84.203,0.211,0.421,8.059,2.868,0.0406,0.0811,16.27,2.10201455206912,3.89619532665471,1.62687926774981,4.24539453995574,0.438812083624211,24.0109140518417,24.2382901318781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1.695,6.198,7.783,9.132,10.686,16.0606060606061,24.8484848484849,29.0909090909091,36.969696969697,55.1515151515152,74.5454545454545,88.6363636363636,95,98.030303030303,c(439931.016, 5835791.1)
"JP11",5842015.906,437228.78,125.94,0.315,0.63,13.519,5.96,0.0417,0.0833,22.18,4.60433797909408,6.43990233196106,0.917145436989351,2.15491485766792,0.566418971027368,33.6672473867596,37.2822299651568,0,0,0,0,0,0,0,0,0,0,0.0825,0.920000000000002,3.47000000000001,8.95500000000001,11.485,12.76,13.7775,14.805,16.5,20.3021718602455,27.0066100094429,30.4060434372049,34.9386213408876,43.2483474976393,63.1728045325779,81.586402266289,94.5231350330501,98.7724268177526,c(437228.78, 5842015.906)
"JP12",5842038.27,437174.214,125.442,0.314,0.627,16.371,3.493,0.0244,0.0487,24.24,4.793808363784,6.94465652247024,1.06011195925433,2.51038718540899,0.57776587311358,32.9273244011368,37.9212342671539,0,0,0,0,0,0,0,0,0,0,0,0.552000000000003,3.69600000000001,6.524,10.565,13.228,15.217,16.67,18.47,15.7894736842105,25.4847645429363,34.533702677747,40.4432132963989,48.3841181902124,62.0498614958449,79.9630655586334,93.3518005540166,98.7996306555863,c(437174.214, 5842038.27)
"JP2",5835826.539,439942.605,170.659,0.427,0.853,10.122,3.852,0.068,0.1361,20.17,2.8581702501097,4.18391453736677,1.2026442041949,3.33681401365344,0.531715541786509,33.128565160158,35.0153576129882,0,0,0,0,0,0,0,0,0,0,0,0.368000000000002,2.00100000000001,4.342,6.52,7.654,8.536,9.402,10.81,20,30.0502512562814,39.4974874371859,59.1959798994975,84.321608040201,94.6733668341708,97.6884422110553,98.4924623115578,99.3969849246231,c(439942.605, 5835826.539)
"JP3",5850606.933,431535.595,125.092,0.313,0.625,12.538,4.071,0.0369,0.0739,15.81,1.97861615245009,3.83456623034235,1.72904271084468,4.61138124650348,0.419622882479958,23.1851179673321,23.0943738656987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,5.16800000000001,7.25200000000001,8.83,10.904,16.2866449511401,20.3583061889251,25.8957654723127,37.1335504885993,53.5830618892508,70.8469055374593,83.0618892508143,93.1596091205212,97.3941368078176,c(431535.595, 5850606.933)
"JP4",5850536.57,431549.976,123.089,0.308,0.615,12.722,3.85,0.0347,0.0694,16.15,3.37917102615694,4.7635927764895,0.929025037447605,2.23160213201904,0.564929552961646,34.8490945674044,36.5392354124748,0,0,0,0,0,0,0,0,0,0,0,0.04,3.25800000000003,6.41400000000001,7.87,9.004,10.09,11.236,12.422,9.07278165503489,13.3599202392822,18.1455633100698,26.321036889332,39.5812562313061,58.3250249252243,76.0717846460618,90.9272183449651,98.5044865403789,c(431549.976, 5850536.57)
"JP5",5835857.345,439748.254,119.397,0.298,0.597,8.641,2.072,0.0454,0.0909,22.02,4.60569990850869,6.14360484891828,1.01862704739166,2.60463622748844,0.658265479365853,34.8581884720952,42.772186642269,0,0,0,0,0,0,0,0,0,0.265,1.3825,2.83,4.56750000000001,7.59,9.8775,11.12,12.89,14.73,16.9975,21.6680997420464,33.7919174548581,40.67067927773,48.2373172828891,61.3929492691316,73.6027515047292,84.8667239896819,92.5193465176268,97.8503869303525,c(439748.254, 5835857.345)
"JP6",5835894.987,439767.457,222.409,0.556,1.112,8.11,1.469,0.0837,0.1675,21.34,5.21439832285115,6.45080337986167,0.876946494544749,2.26349292710441,0.723132843623671,36.2264150943396,46.9182389937107,0,0,0,0,0,0,0,0.1,0.64,1.51,2.352,3.66800000000001,6.09,9.11400000000001,10.81,12.536,13.994,15.626,17.752,24.5373543522961,37.3543522960932,43.5915010281014,48.8690884167238,58.5332419465387,68.7457162440027,80.0548320767649,89.1706648389308,96.5044551062371,c(439767.457, 5835894.987)
"JP7",5849209.821,432229.877,79.963,0.2,0.4,14.613,2.133,0.016,0.032,15.78,0.996427911275416,2.90660638044337,3.07692235329327,11.5633226229089,0.2603559319274,12.8927911275416,12.1072088724584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3.797,9.22099999999999,35.1941747572816,45.1456310679612,51.4563106796116,59.2233009708738,66.0194174757281,75.2427184466019,86.4077669902913,93.4466019417476,97.0873786407767,c(432229.877, 5849209.821)
"JP8",5849223.512,432192.431,28.137,0.07,0.141,6.243,0.933,0.0132,0.0265,21.75,2.18036018957346,4.74188188141237,2.06528692154107,6.03949081986278,0.354846113604076,19.6208530805687,19.8104265402844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.592,7.97,10.903,13.31,21.3333333333333,27.6190476190476,34.0952380952381,43.4285714285714,59.6190476190476,76.7619047619048,88.5714285714286,94.2857142857143,98.0952380952381,c(432192.431, 5849223.512)
